lpi_greenbea,82,139,105
162bit,1595,1688,1794
rdb450,60,60,60
data,128,118,134
nsic,47,44,57
D_10,276,271,343
D_11,101,103,136
rajat27,22,28,28
se,4118,3895,3876
M40PI_n,6,6,10
PGPgiantcompo,223,221,247
utm3060,205,227,240
lp_scagr7,6,7,9
Journals,125,173,125
can_24,15,8,8
fe_4elt2,132,132,132
lshp1270,74,74,72
lpi_pang,17,19,18
lp_wood1p,103,121,133
bayer08,69,71,88
bayer09,33,34,33
bayer06,69,71,88
bayer07,110,97,72
bayer04,106,102,88
bayer05,110,97,72
bayer02,28,28,29
bayer03,35,31,31
can_144,13,12,12
nasa1824,227,301,292
dwt_221,15,16,14
lp_maros,45,46,55
bips07_2476,47,25,35
car4,0,0,0
G40,1037,1090,1158
G41,1030,1066,1176
G42,1036,1084,1173
G43,1001,1352,1001
G44,1000,1361,1000
G45,1000,1389,1000
G46,1001,1366,1001
G47,1000,1358,1000
G48,0,0,0
G49,0,0,0
ch4-4-b3,0,0,0
EX4,2585,2265,2601
filter2D,80,89,84
dwt_310,14,14,15
freeFlyingRobot_16,56,14,50
can_1072,62,63,62
spaceStation_1,42,43,42
spaceStation_3,74,70,63
spaceStation_2,162,165,169
spaceStation_5,93,126,58
spaceStation_4,119,113,126
spaceStation_7,74,98,73
spaceStation_6,92,110,125
spaceStation_9,20,20,20
spaceStation_8,56,23,23
mhd4800b,3,2,4
gre_343,46,48,46
lock_700,149,163,264
Maragal_3,225,263,294
Maragal_2,22,22,27
Maragal_1,15,14,15
lp_ship08l,10,7,9
Maragal_5,382,539,615
fome11,0,0,0
rosen7,8,8,8
rosen1,8,8,8
rosen2,8,8,8
lp_ship08s,11,7,10
cz628,20,20,21
cdde1,62,62,62
cdde3,62,62,62
cdde2,62,62,62
cdde5,62,62,62
cdde4,62,62,62
lp_standgub,30,31,72
cdde6,62,62,62
Trec10,99,98,107
utm1700b,115,124,123
NotreDame_yeast,89,93,90
lp_qap12,1320,1504,2159
lp_qap15,2595,2877,4200
karate,10,9,9
young1c,58,58,58
lp_tuff,44,47,70
stufe-10,72,68,68
ck104,0,0,0
shyy41,61,55,61
lp_qap8,384,416,436
mark3jac020,330,378,333
fpga_dcop_48,2,3,4
fpga_dcop_49,2,3,4
comsol,157,264,272
fpga_dcop_42,2,3,4
fpga_dcop_43,2,3,4
fpga_dcop_40,2,3,4
fpga_dcop_41,2,3,4
fpga_dcop_46,2,3,4
fpga_dcop_47,2,3,4
fpga_dcop_44,2,3,4
fpga_dcop_45,2,3,4
utm300,52,51,59
mimo46x46_system,32,36,36
lpi_chemcom,49,53,53
lshp3466,122,122,124
adder_dcop_16,82,28,102
oscil_dcop_47,2,2,2
bp_400,35,32,40
kneser_8_3_1,982,983,1055
c-19,212,240,231
c-18,58,64,71
bcsstk03,0,0,0
lund_a,42,44,42
lund_b,41,43,46
dynamicSoaringProblem_3,46,22,46
dynamicSoaringProblem_2,52,28,51
dynamicSoaringProblem_1,28,22,29
dynamicSoaringProblem_7,28,22,47
dynamicSoaringProblem_6,52,28,46
dynamicSoaringProblem_5,79,28,46
dynamicSoaringProblem_4,22,22,46
dynamicSoaringProblem_8,28,32,46
Harvard500,16,14,17
tumorAntiAngiogenesis_8,20,12,16
jazz,123,138,138
str_600,24,30,30
gen,497,512,640
adder_dcop_26,82,28,102
tumorAntiAngiogenesis_1,16,8,12
pivtol,4,4,4
rel7,461,468,558
b_dyn,15,15,21
rel6,67,64,79
shl_200,12,8,14
olm100,2,2,4
rel4,9,5,6
dwt_419,32,32,36
shermanACd,195,182,253
shermanACa,165,171,209
orbitRaising_3,24,16,29
dwt_234,8,6,4
pde2961,94,94,94
CSphd,0,0,0
adder_trans_01,122,44,166
adder_trans_02,122,44,166
dwt_307,46,46,51
robot24c1_mat5_J,193,237,260
bibd_17_4b,136,134,136
rdist3a,46,66,46
poli,5,4,5
ash608,13,14,13
bfwa782,29,28,28
spaceShuttleEntry_4,62,26,95
young2c,58,58,58
spaceShuttleEntry_1,17,14,27
spaceShuttleEntry_3,40,26,26
spaceShuttleEntry_2,14,14,27
Franz1,64,86,106
D_8,708,782,797
Franz2,512,538,522
Franz5,1002,990,1025
Franz4,1072,1053,1115
Franz7,471,481,501
Franz6,1579,1724,1834
Franz9,1415,1452,2097
hydr1c,26,28,28
D_6,250,259,310
D_7,586,625,702
D_5,56,63,73
GlossGT,8,6,5
SmaGri,132,138,143
cq9,269,190,998
cq5,155,125,481
coupled,282,258,390
eurqsa,385,336,360
GD06_Java,117,94,120
lpi_forest6,5,5,5
lp_greenbeb,102,145,97
lp_greenbea,102,145,97
lp_blend,14,16,17
nnc261,24,22,23
b2_ss,15,15,16
SciMet,316,356,366
lshp2614,106,106,114
lpi_itest6,0,2,0
fpga_dcop_51,2,3,4
fpga_dcop_50,2,3,4
lpi_itest2,4,3,8
lnsp_511,67,69,66
bp_1000,37,36,48
lp_stair,25,31,30
lpi_qual,31,33,24
EPA,194,193,244
nos1,4,4,4
nos2,4,4,4
nos3,80,100,123
nos4,15,16,15
nos5,108,124,110
nos6,30,30,34
nos7,124,162,162
lp_sc105,5,5,5
c-28,14,10,28
c-29,108,56,53
c-26,154,101,124
celegans_metabolic,70,68,102
c-24,76,80,135
c-25,274,392,332
c-22,150,128,142
c-23,56,12,12
c-20,134,166,162
c-21,116,125,125
lp_ken_07,25,25,27
sherman4,42,48,42
sherman5,131,126,140
sherman1,61,60,62
sherman2,311,285,334
sherman3,159,155,169
jendrec1,58,58,437
3elt_dual,88,88,89
rajat19,16,8,18
rdb200l,40,40,40
fv3,198,198,221
fv2,198,198,221
fv1,196,196,233
sctap1-2b,510,34,300
sctap1-2c,119,34,46
bibd_12_5,66,65,66
bibd_12_4,66,61,66
Lederberg,578,601,769
p2p-Gnutella30,4765,5012,5480
p0548,11,10,16
mk9-b2,204,200,219
mk9-b3,300,289,340
mk9-b1,29,26,30
pcb3000,74,58,96
power,16,18,17
bips07_3078,48,30,40
TSOPF_RS_b9_c6,36,6,64
west0381,37,37,54
N_reactome,9,24,10
GL6_D_10,95,94,118
mycielskian5,14,12,12
bibd_14_7,91,91,91
lesmis,12,16,19
fpga_trans_01,8,6,8
fpga_trans_02,8,6,8
G62,0,0,0
G63,3610,3749,4211
G60,3157,3464,3394
G61,3157,3464,3394
G66,0,0,0
G67,0,0,0
G64,3610,3749,4211
G65,0,0,0
eris1176,128,74,16
Pd_rhs,0,0,0
lp_grow15,20,21,20
stormg2-27,144,108,157
can_1054,62,66,68
GD97_b,12,12,14
GD97_c,2,2,4
GD97_a,26,24,24
mhdb416,2,2,4
west0132,8,9,8
GD99_b,20,20,20
GD99_c,0,0,0
gams30a,2,2,2
Alemdar,168,182,178
air03,81,79,113
air02,44,43,50
air05,299,289,391
air04,545,570,725
air06,516,525,657
dwt_209,34,34,37
dwt_758,22,26,23
d_dyn,5,6,7
epb1,209,210,210
epb0,5,7,6
add32,14,6,14
Franz3,404,419,402
D_9,516,540,620
cr42,13,13,13
can_634,104,129,123
IG5-13,1092,1357,1672
IG5-12,655,780,1011
IG5-11,381,457,573
IG5-10,223,268,308
GD01_b,5,2,1
nemscem,9,9,19
lp_degen3,213,185,308
lp_degen2,92,80,91
ash292,19,18,19
west0989,17,17,15
young3c,52,56,55
ukerbe1,0,0,0
bfwb782,12,12,11
lp_share1b,7,7,11
tols340,18,18,20
fpga_dcop_20,2,3,4
fpga_dcop_21,2,3,4
fpga_dcop_22,2,3,4
fpga_dcop_23,2,3,4
fpga_dcop_24,2,3,4
fpga_dcop_25,2,3,4
fpga_dcop_26,2,3,4
fpga_dcop_27,2,3,4
fpga_dcop_28,2,3,4
fpga_dcop_29,2,3,4
ex12,76,114,95
Tina_AskCal,2,3,2
ex14,157,214,176
ex15,84,84,140
radfr1,20,29,20
lns_511,68,71,66
lp_israel,42,44,51
olm1000,2,2,2
ch5-5-b4,0,0,0
ch5-5-b3,172,172,171
ch5-5-b2,109,106,126
ch5-5-b1,21,18,21
gre_1107,113,115,122
photogrammetry2,96,120,247
wm3,56,63,64
wm2,56,61,78
wm1,56,59,71
large,36,30,31
oscil_dcop_54,2,2,2
oscil_dcop_55,2,2,2
small,34,36,33
oscil_dcop_56,2,2,2
GD01_c,11,8,7
c-38,108,32,81
GD01_a,23,22,22
oscil_dcop_57,2,2,2
S80PI_n1,4,4,6
c-31,237,208,379
c-30,38,30,516
c-33,100,106,173
c-32,34,30,226
c-35,190,156,159
c-34,68,68,162
c-37,419,408,600
c-36,282,262,319
lp_ken_11,53,53,55
lp_ken_13,71,71,91
ck656,0,0,0
diag,0,0,0
b1_ss,2,3,2
circuit_1,152,151,252
p2p-Gnutella24,4230,4275,4662
circuit_3,231,22,217
circuit_2,105,81,198
n3c5-b3,65,65,66
p2756,20,16,56
n3c5-b1,8,9,9
n3c5-b7,17,15,18
n3c5-b6,65,65,65
arc130,16,16,24
n3c5-b4,105,105,112
GL6_D_6,110,120,135
GL6_D_7,263,295,300
GL6_D_8,320,344,351
GL6_D_9,220,220,247
p0282,29,22,35
Tina_DisCal,7,7,5
n2c6-b8,180,270,210
fpga_dcop_10,3,2,3
lp_cre_a,86,64,141
lp_cre_c,79,68,100
commanche_dual,66,62,56
orsreg_1,210,210,210
fpga_dcop_13,2,3,4
Roget,245,284,256
G19,410,442,435
G18,433,432,455
pde225,30,30,30
G16,417,441,471
G15,410,442,435
G14,433,432,455
G13,64,64,64
G12,0,0,0
G11,0,0,0
G10,801,1304,801
gams60am,2,2,2
lp_scrs8,24,22,23
n2c6-b6,2076,2199,2636
young4c,58,58,58
cavity01,69,65,99
abtaha1,167,158,192
nemspmm1,107,117,110
nemspmm2,112,141,164
lp_standata,28,30,76
whitaker3_dual,135,134,132
lutz30-23-b6,764,765,764
shl_400,14,7,14
lp_fffff800,56,63,40
lp_cycle,41,34,38
tub100,4,4,4
lp_share2b,11,9,9
cz5108,19,19,20
lpi_refinery,29,31,22
west0655,41,53,50
S10PI_n1,4,4,4
G50,100,100,100
cs4,599,614,613
bcsstk01,24,24,24
bcsstk02,66,66,66
Sandi_authors,8,6,6
bcsstk04,60,66,76
bcsstk05,24,24,26
bcsstk06,72,74,93
bcsstk07,72,74,93
bcsstk08,126,139,130
bcsstk09,114,154,170
klein-b2,13,6,18
thermal,96,131,128
klein-b1,9,8,10
S20PI_n,8,8,8
lp_scorpion,12,12,14
jan99jac040sc,411,387,462
pores_1,24,9,9
pores_3,19,19,18
pores_2,64,67,67
ukerbe1_dual,43,40,40
L,49,67,48
fpga_dcop_33,2,3,4
fpga_dcop_32,2,3,4
fpga_dcop_31,2,3,4
fpga_dcop_30,2,3,4
fpga_dcop_37,2,3,4
fpga_dcop_36,2,3,4
fpga_dcop_35,2,3,4
fpga_dcop_34,2,3,4
fpga_dcop_39,2,3,4
fpga_dcop_38,2,3,4
rail_5177,76,88,72
west0479,40,36,45
ch7-6-b4,3816,3940,3888
ch7-6-b5,720,1048,720
garon1,199,293,292
ch7-6-b1,39,30,40
ch7-6-b2,493,391,573
ch7-6-b3,2300,2098,2154
psse1,28,30,38
msc01440,160,236,268
lp22,788,835,730
wheel_5_1,14,15,14
USAir97,63,75,91
gre_185,37,38,42
wheel_7_1,17,17,17
shar_te2-b1,275,225,283
Trec8,21,17,23
cond-mat,1043,1117,1145
685_bus,16,14,16
aa03,516,525,657
aa01,545,570,725
bp_1200,45,46,52
divorce,9,8,9
aa5,489,481,618
aa4,299,289,391
aa6,389,373,514
aa3,516,525,657
wheel_3_1,8,9,9
bcsstm09,0,0,0
tub1000,4,4,4
LFAT5000,4,4,4
relat4,9,5,9
p0291,41,40,47
relat6,67,69,94
relat7,488,486,682
relat3,3,3,3
dwt_918,44,50,50
kleemin,7,6,7
pf2177,445,511,630
130bit,320,318,312
WorldCities,91,103,101
bibd_9_3,22,22,25
bibd_9_5,36,36,36
can_187,22,22,23
blckhole,126,138,135
ex6,60,86,126
ex7,138,272,327
ex4,94,87,105
ex5,13,10,11
ex2,110,150,199
ex3,86,139,150
dwt_592,43,46,48
ex8,149,120,308
ex9,98,89,186
rdb800l,80,80,80
cep1,4,4,4
qh768,20,16,16
jpwh_991,136,140,132
gas11,8,9,8
watt_1,128,128,128
msc04515,186,226,222
lp_woodw,159,68,262
lop163,16,16,16
Chem97ZtZ,0,0,0
extr1b,14,15,16
relat5,14,10,23
gent113,19,25,21
plbuckle,0,0,0
bcsstk13,547,650,739
bcsstk12,66,78,87
bcsstk11,66,78,87
bcsstk10,36,39,56
bcsstk14,208,252,325
bcsstk19,6,6,6
gams10a,2,2,2
Stranke94,10,10,10
lnsp3937,114,122,114
lp_ganges,37,24,36
LeGresley_4908,28,28,28
S40PI_n1,4,4,4
m3plates,0,0,0
will199,15,16,14
as-735,134,135,199
lpi_pilot4i,71,78,61
ex36,76,81,61
ex37,132,274,279
olm5000,2,2,2
ex32,46,36,45
ex33,58,90,58
fpga_dcop_08,4,3,2
ex31,78,123,232
fpga_dcop_06,5,2,2
fpga_dcop_07,4,4,2
fpga_dcop_04,3,5,6
