rdb1250l,1250,1250,7300,DNF,DNF,DNF,DNF
rdb200,200,200,1120,DNF,DNF,DNF,DNF
gre_115,115,115,421,22,140,DNF,DNF
fpga_dcop_19,1220,1220,5892,2,2,DNF,DNF
dwt_1007,1007,1007,8575,DNF,DNF,DNF,DNF
dwt_1005,1005,1005,8621,DNF,DNF,DNF,DNF
ex20,2203,2203,69981,DNF,DNF,DNF,DNF
primagaz,1554,10836,21665,7,26,DNF,DNF
mesh2e1,306,306,2018,DNF,DNF,DNF,DNF
1138_bus,1138,1138,4054,16,10598,DNF,DNF
bp_1600,822,822,4841,34,7730,DNF,DNF
freeFlyingRobot_5,2878,2878,24582,14,29,CNO,CNO
freeFlyingRobot_4,2358,2358,18218,14,16,CNO,CNO
freeFlyingRobot_7,3918,3918,31046,14,102,CNO,CNO
freeFlyingRobot_6,3358,3358,27030,14,34,CNO,CNO
freeFlyingRobot_1,798,798,5246,14,2,CNO,CNO
watt_2,1856,1856,11550,DNF,DNF,DNF,DNF
freeFlyingRobot_3,1718,1718,12922,14,6,CNO,CNO
freeFlyingRobot_2,1338,1338,11600,14,4,CNO,CNO
lp_grow7,140,301,2612,DNF,DNF,DNF,DNF
freeFlyingRobot_9,4778,4778,39964,14,73,CNO,CNO
jagmesh5,1180,1180,7750,DNF,DNF,DNF,DNF
Erdos972,4749,4749,14170,DNF,DNF,DNF,DNF
Erdos971,433,433,2628,DNF,DNF,DNF,DNF
descriptor_xingo6u,20738,20738,73916,DNF,DNF,CNO,CNO
Cities,55,46,1342,38,2322,38,17152
n4c5-b2,455,105,1365,DNF,DNF,DNF,DNF
n4c5-b3,1350,455,5400,DNF,DNF,DNF,DNF
n4c5-b1,105,15,210,11,1,11,1
n4c5-b6,4735,4340,33145,DNF,DNF,DNF,DNF
n4c5-b7,3635,4735,29080,DNF,DNF,DNF,DNF
n4c5-b4,2852,1350,14260,DNF,DNF,DNF,DNF
n4c5-b5,4340,2852,26040,DNF,DNF,DNF,DNF
n4c5-b8,1895,3635,17055,DNF,DNF,DNF,DNF
n4c5-b9,630,1895,6300,DNF,DNF,DNF,DNF
extr1,2837,2837,11407,14,57,DNF,DNF
nemsafm,334,2348,2826,4,1,DNF,DNF
lp_beaconfd,173,295,3408,33,13,DNF,DNF
orsirr_2,886,886,5970,DNF,DNF,DNF,DNF
cz148,148,148,1527,21,2,DNF,DNF
orsirr_1,1030,1030,6858,DNF,DNF,DNF,DNF
rkat7_mat5,694,738,38114,DNF,DNF,DNF,DNF
refine,29,62,153,3,0,3,1
dwt_1242,1242,1242,10426,DNF,DNF,DNF,DNF
L-9,17983,17983,71192,DNF,DNF,DNF,DNF
mhd1280a,1280,1280,47906,44,15382,DNF,DNF
mhd1280b,1280,1280,12029,8,19,DNF,DNF
Goodwin_017,3317,3317,97773,DNF,DNF,DNF,DNF
