matrix,vol_mfg,vol_mmg,vol_mfgir,vol_pfg,vol_pmg,vol_pfgir,time_mfg,time_mmg,time_mfgir,time_pfg,time_pmg,time_pfgir
GD02_a,7,13,7,9,9,9,0.001081,0.000562,0.001087,0.000644,0.000714,0.000745
GD02_b,5,5,5,5,5,5,0.001811,0.001436,0.001682,0.001539,0.001017,0.001608
mycielskian10,598,404,403,508,418,448,0.242292,0.074687,0.256547,0.102613,0.039017,0.113049
dw1024,129,65,128,66,66,65,0.02774,0.01763,0.028417,0.009954,0.00742,0.01179
GD00_c,18,17,18,17,20,17,0.003456,0.002524,0.00385,0.001852,0.001841,0.002077
GD00_a,0,0,0,0,0,0,0.00066,0.000618,0.00049,0.000486,0.002809,0.000647
grid2_dual,64,64,64,53,48,49,0.020639,0.014391,0.02157,0.010961,0.011126,0.012418
n3c6-b4,871,929,871,685,676,685,0.048847,0.032722,0.050169,0.018029,0.019237,0.019837
lpi_bgindy,219,302,191,198,187,198,0.553958,0.3133,0.579388,0.433201,0.174084,0.438766
Erdos982,274,248,266,242,271,242,0.030684,0.022255,0.037177,0.017231,0.019313,0.01814
Erdos981,114,101,109,114,99,107,0.009927,0.008503,0.011183,0.005501,0.005723,0.006997
lp_adlittle,14,10,12,9,9,9,0.001967,0.002222,0.002009,0.001214,0.001103,0.001287
lp_fit1d,24,24,24,22,23,22,0.10885,0.024228,0.111896,0.066329,0.025173,0.067879
lp_fit1p,24,24,24,23,23,23,0.050544,0.011683,0.051898,0.03097,0.012717,0.033685
fs_760_1,44,44,44,44,44,44,0.014343,0.013101,0.014853,0.008615,0.006464,0.009398
TF11,74,71,71,71,73,70,0.006547,0.005839,0.007435,0.003573,0.004003,0.004973
TF10,37,34,37,35,34,34,0.003349,0.003114,0.003433,0.002169,0.00224,0.00236
TF13,390,355,355,393,355,360,0.042561,0.031954,0.045419,0.025322,0.019079,0.027187
TF12,172,167,165,176,152,163,0.016706,0.014287,0.017469,0.006548,0.009632,0.008851
TF15,2300,1907,1849,2087,1910,1887,0.395731,0.274613,0.441994,0.130239,0.126481,0.163779
TF14,851,819,804,873,803,787,0.12534,0.082882,0.137152,0.051015,0.049173,0.068023
hor_131,71,67,66,69,66,66,0.014301,0.010914,0.015882,0.007124,0.008015,0.008304
flowmeter0,118,118,118,118,116,116,0.140769,0.089137,0.130405,0.043628,0.035462,0.053383
flowmeter5,119,116,118,117,116,116,0.125005,0.065511,0.13212,0.053279,0.033668,0.053731
DK01R,20,20,20,20,20,20,0.027085,0.013319,0.02779,0.009734,0.00565,0.010328
as-22july06,608,383,565,353,334,351,0.784559,0.707792,0.832002,0.2563,0.192875,0.278998
olm500,2,2,2,2,2,2,0.004084,0.002697,0.004325,0.001768,0.001503,0.002147
netz4504_dual,34,34,34,34,34,34,0.007348,0.007452,0.007732,0.003954,0.003383,0.004249
mk11-b4b,2299,2625,2299,2627,2625,2627,0.171166,0.120749,0.154199,0.052067,0.046008,0.05633
lpi_woodinfe,0,0,0,0,0,0,0.000444,0.000561,0.000465,0.000432,0.000463,0.00046
rdb1250,100,100,100,100,100,100,0.017736,0.013286,0.01857,0.00649,0.004877,0.007381
cis-n4c6-b15,0,0,0,0,0,0,0.000524,0.000629,0.000587,0.000663,0.00057,0.000572
cis-n4c6-b14,111,96,93,93,93,93,0.02693,0.024698,0.03061,0.012207,0.01197,0.014057
cis-n4c6-b13,1153,1140,1110,1306,1161,1128,0.290139,0.241061,0.315711,0.10054,0.139489,0.142858
bcsstm06,0,0,0,0,0,0,0.00107,0.000649,0.000664,0.000707,0.001023,0.000718
oscil_dcop_42,2,2,2,2,2,2,0.004252,0.004775,0.00464,0.002455,0.00264,0.002716
oscil_dcop_41,2,2,2,2,2,2,0.004244,0.005018,0.004584,0.002439,0.002671,0.00287
bcsstm05,0,0,0,0,0,0,0.000583,0.000586,0.000505,0.000551,0.000513,0.000562
fxm2-6,30,30,29,27,29,27,0.02583,0.014631,0.028029,0.011638,0.007795,0.012426
oscil_dcop_46,2,2,2,2,2,2,0.004398,0.004795,0.005527,0.00251,0.002788,0.002848
dw8192,256,256,256,256,256,256,0.073178,0.050342,0.08912,0.0313,0.026054,0.036161
big_dual,148,158,143,140,136,136,0.152686,0.11176,0.179751,0.057043,0.06313,0.086837
bcsstm01,0,0,0,0,0,0,0.000548,0.000481,0.000652,0.00054,0.000502,0.000524
